corpus	language	file	bytes	chars	lines	tokens	bytes_per_token	tokens_per_line
python-stdlib	Python	/usr/lib/python3.14/zipfile/__main__.py	58	58	4	16	3.6250	4.0000
python-stdlib	Python	/usr/lib/python3.14/_pyrepl/simple_interact.py	5981	5981	181	1328	4.5038	7.3370
python-stdlib	Python	/usr/lib/python3.14/tomllib/__init__.py	308	308	10	86	3.5814	8.6000
python-stdlib	Python	/usr/lib/python3.14/encodings/cp1256.py	12814	12814	307	5102	2.5116	16.6189
python-stdlib	Python	/usr/lib/python3.14/_pyrepl/__main__.py	422	422	10	105	4.0190	10.5000
python-stdlib	Python	/usr/lib/python3.14/socket.py	37536	37536	992	8537	4.3969	8.6058
python-stdlib	Python	/usr/lib/python3.14/sqlite3/__main__.py	4288	4288	139	914	4.6915	6.5755
python-stdlib	Python	/usr/lib/python3.14/json/__init__.py	14132	14132	365	3644	3.8782	9.9836
python-stdlib	Python	/usr/lib/python3.14/turtledemo/peace.py	1004	1004	58	277	3.6245	4.7759
python-stdlib	Python	/usr/lib/python3.14/turtledemo/minimal_hanoi.py	1879	1879	73	549	3.4226	7.5205
python-stdlib	Python	/usr/lib/python3.14/_strptime.py	35516	35413	822	9014	3.9401	10.9659
python-stdlib	Python	/usr/lib/python3.14/random.py	37411	37410	1083	9201	4.0660	8.4958
python-stdlib	Python	/usr/lib/python3.14/ctypes/wintypes.py	5753	5753	210	1528	3.7651	7.2762
python-stdlib	Python	/usr/lib/python3.14/unittest/main.py	11660	11660	280	2292	5.0873	8.1857
python-stdlib	Python	/usr/lib/python3.14/encodings/iso8859_1.py	13176	13176	307	4927	2.6742	16.0489
python-stdlib	Python	/usr/lib/python3.14/sre_parse.py	229	229	7	62	3.6935	8.8571
python-stdlib	Python	/usr/lib/python3.14/pkgutil.py	16055	16055	474	3544	4.5302	7.4768
python-stdlib	Python	/usr/lib/python3.14/importlib/resources/_adapters.py	4482	4482	168	951	4.7129	5.6607
python-stdlib	Python	/usr/lib/python3.14/importlib/_bootstrap.py	57937	57937	1570	12262	4.7249	7.8102
python-stdlib	Python	/usr/lib/python3.14/unittest/signals.py	2403	2403	71	465	5.1677	6.5493
python-stdlib	Python	/usr/lib/python3.14/turtledemo/clock.py	3128	3128	132	905	3.4564	6.8561
python-stdlib	Python	/usr/lib/python3.14/io.py	4736	4736	150	1155	4.1004	7.7000
python-stdlib	Python	/usr/lib/python3.14/fnmatch.py	6791	6791	209	1553	4.3728	7.4306
python-stdlib	Python	/usr/lib/python3.14/encodings/cp866.py	34396	34396	698	14492	2.3734	20.7622
python-stdlib	Python	/usr/lib/python3.14/filecmp.py	10652	10652	320	2535	4.2020	7.9219
python-stdlib	Python	/usr/lib/python3.14/_py_warnings.py	30631	30631	869	6841	4.4776	7.8723
python-stdlib	Python	/usr/lib/python3.14/_pyrepl/pager.py	5815	5815	175	1445	4.0242	8.2571
python-stdlib	Python	/usr/lib/python3.14/encodings/cp1140.py	13105	13105	307	4895	2.6772	15.9446
python-stdlib	Python	/usr/lib/python3.14/token.py	2584	2584	144	981	2.6340	6.8125
python-stdlib	Python	/usr/lib/python3.14/opcode.py	3152	3152	122	924	3.4113	7.5738
python-stdlib	Python	/usr/lib/python3.14/concurrent/futures/process.py	38376	38376	942	7904	4.8553	8.3907
python-stdlib	Python	/usr/lib/python3.14/gzip.py	25247	25247	719	5771	4.3748	8.0264
python-stdlib	Python	/usr/lib/python3.14/xml/etree/cElementTree.py	82	82	3	18	4.5556	6.0000
python-stdlib	Python	/usr/lib/python3.14/multiprocessing/pool.py	32768	32768	957	6871	4.7690	7.1797
python-stdlib	Python	/usr/lib/python3.14/xml/parsers/__init__.py	167	167	8	33	5.0606	4.1250
python-stdlib	Python	/usr/lib/python3.14/concurrent/futures/_base.py	24197	24197	680	4853	4.9860	7.1368
python-stdlib	Python	/usr/lib/python3.14/_pyrepl/main.py	1870	1870	58	451	4.1463	7.7759
python-stdlib	Python	/usr/lib/python3.14/importlib/resources/_functional.py	2651	2651	81	589	4.5008	7.2716
python-stdlib	Python	/usr/lib/python3.14/turtledemo/chaos.py	911	911	57	361	2.5235	6.3333
python-stdlib	Python	/usr/lib/python3.14/csv.py	19186	19186	513	4318	4.4433	8.4172
python-stdlib	Python	/usr/lib/python3.14/email/headerregistry.py	21244	21244	618	4577	4.6415	7.4061
python-stdlib	Python	/usr/lib/python3.14/encodings/utf_8_sig.py	4133	4133	130	942	4.3875	7.2462
python-stdlib	Python	/usr/lib/python3.14/email/errors.py	3809	3809	117	807	4.7200	6.8974
python-stdlib	Python	/usr/lib/python3.14/multiprocessing/popen_forkserver.py	2230	2230	74	506	4.4071	6.8378
python-stdlib	Python	/usr/lib/python3.14/turtledemo/penrose.py	3316	3316	172	1115	2.9740	6.4826
python-stdlib	Python	/usr/lib/python3.14/_pyrepl/terminfo.py	18450	18450	488	6195	2.9782	12.6947
python-stdlib	Python	/usr/lib/python3.14/ctypes/util.py	20207	20207	544	4551	4.4401	8.3658
python-stdlib	Python	/usr/lib/python3.14/curses/panel.py	87	87	6	20	4.3500	3.3333
python-stdlib	Python	/usr/lib/python3.14/urllib/robotparser.py	12122	12122	355	2630	4.6091	7.4085
python-stdlib	Python	/usr/lib/python3.14/email/mime/text.py	1389	1389	40	324	4.2870	8.1000
python-stdlib	Python	/usr/lib/python3.14/sysconfig/__main__.py	9228	9228	276	2157	4.2782	7.8152
python-stdlib	Python	/usr/lib/python3.14/turtledemo/__main__.py	15340	15340	399	3530	4.3456	8.8471
python-stdlib	Python	/usr/lib/python3.14/Tools/scripts/combinerefs.py	4454	4454	129	1112	4.0054	8.6202
python-stdlib	Python	/usr/lib/python3.14/encodings/cp855.py	33850	33850	698	14584	2.3210	20.8940
python-stdlib	Python	/usr/lib/python3.14/wave.py	23254	23254	665	5330	4.3629	8.0150
python-stdlib	Python	/usr/lib/python3.14/encodings/cp869.py	32965	32965	689	14291	2.3067	20.7417
python-stdlib	Python	/usr/lib/python3.14/struct.py	285	285	15	84	3.3929	5.6000
python-stdlib	Python	/usr/lib/python3.14/nturl2path.py	2443	2443	74	642	3.8053	8.6757
python-stdlib	Python	/usr/lib/python3.14/encodings/rot_13.py	2448	2448	113	1014	2.4142	8.9735
python-stdlib	Python	/usr/lib/python3.14/calendar.py	29863	29863	926	7509	3.9770	8.1091
python-stdlib	Python	/usr/lib/python3.14/asyncio/trsock.py	2475	2475	98	556	4.4514	5.6735
python-stdlib	Python	/usr/lib/python3.14/_ios_support.py	2672	2672	71	673	3.9703	9.4789
python-stdlib	Python	/usr/lib/python3.14/textwrap.py	19382	19382	475	4342	4.4638	9.1411
python-stdlib	Python	/usr/lib/python3.14/concurrent/interpreters/_queues.py	8688	8688	290	2001	4.3418	6.9000
python-stdlib	Python	/usr/lib/python3.14/_pyrepl/unix_eventqueue.py	2554	2554	77	672	3.8006	8.7273
python-stdlib	Python	/usr/lib/python3.14/_pylong.py	28356	28356	729	7972	3.5569	10.9355
python-stdlib	Python	/usr/lib/python3.14/asyncio/base_tasks.py	2672	2672	94	682	3.9179	7.2553
python-stdlib	Python	/usr/lib/python3.14/turtledemo/lindenmayer.py	2373	2373	116	626	3.7907	5.3966
python-stdlib	Python	/usr/lib/python3.14/ftplib.py	35240	35238	975	8374	4.2083	8.5887
python-stdlib	Python	/usr/lib/python3.14/poplib.py	14604	14604	477	3378	4.3233	7.0818
python-stdlib	Python	/usr/lib/python3.14/xml/etree/ElementInclude.py	6952	6952	186	1552	4.4794	8.3441
python-stdlib	Python	/usr/lib/python3.14/datetime.py	331	331	13	86	3.8488	6.6154
python-stdlib	Python	/usr/lib/python3.14/unittest/runner.py	11383	11383	313	2447	4.6518	7.8179
python-stdlib	Python	/usr/lib/python3.14/os.py	41958	41958	1191	9868	4.2519	8.2855
python-stdlib	Python	/usr/lib/python3.14/plistlib.py	30024	30024	948	7214	4.1619	7.6097
python-stdlib	Python	/usr/lib/python3.14/_collections_abc.py	32147	32147	1172	7228	4.4476	6.1672
python-stdlib	Python	/usr/lib/python3.14/_pyrepl/console.py	6866	6866	229	1486	4.6205	6.4891
python-stdlib	Python	/usr/lib/python3.14/weakref.py	17771	17771	574	3976	4.4696	6.9268
python-stdlib	Python	/usr/lib/python3.14/asyncio/protocols.py	6957	6957	216	1459	4.7683	6.7546
python-stdlib	Python	/usr/lib/python3.14/encodings/mac_romanian.py	13661	13661	307	5057	2.7014	16.4723
python-stdlib	Python	/usr/lib/python3.14/asyncio/timeouts.py	5985	5985	183	1322	4.5272	7.2240
python-stdlib	Python	/usr/lib/python3.14/configparser.py	55568	55568	1422	11719	4.7417	8.2412
python-stdlib	Python	/usr/lib/python3.14/asyncio/constants.py	1413	1413	41	364	3.8819	8.8780
python-stdlib	Python	/usr/lib/python3.14/platform.py	49128	49126	1515	11700	4.1990	7.7228
python-stdlib	Python	/usr/lib/python3.14/encodings/big5.py	1019	1019	39	234	4.3547	6.0000
python-stdlib	Python	/usr/lib/python3.14/encodings/cp860.py	34681	34681	698	14411	2.4066	20.6461
python-stdlib	Python	/usr/lib/python3.14/copyreg.py	7716	7716	222	1777	4.3421	8.0045
python-stdlib	Python	/usr/lib/python3.14/unittest/result.py	9269	9269	259	2005	4.6229	7.7413
python-stdlib	Python	/usr/lib/python3.14/encodings/shift_jis.py	1039	1039	39	240	4.3292	6.1538
python-stdlib	Python	/usr/lib/python3.14/cmd.py	15411	15411	414	3199	4.8174	7.7271
python-stdlib	Python	/usr/lib/python3.14/copy.py	8582	8582	286	2018	4.2527	7.0559
python-stdlib	Python	/usr/lib/python3.14/tempfile.py	33009	33009	977	7361	4.4843	7.5343
python-stdlib	Python	/usr/lib/python3.14/asyncio/locks.py	20578	20578	617	4423	4.6525	7.1686
python-stdlib	Python	/usr/lib/python3.14/encodings/cp864.py	33663	33663	690	14710	2.2884	21.3188
python-stdlib	Python	/usr/lib/python3.14/zoneinfo/__init__.py	917	917	34	234	3.9188	6.8824
python-stdlib	Python	/usr/lib/python3.14/importlib/readers.py	327	327	12	81	4.0370	6.7500
python-stdlib	Python	/usr/lib/python3.14/asyncio/runners.py	7491	7491	226	1559	4.8050	6.8982
python-stdlib	Python	/usr/lib/python3.14/urllib/parse.py	46970	46962	1289	11223	4.1852	8.7067
python-stdlib	Python	/usr/lib/python3.14/importlib/metadata/_text.py	2166	2166	99	559	3.8748	5.6465
python-stdlib	Python	/usr/lib/python3.14/code.py	13443	13443	396	2815	4.7755	7.1086
python-stdlib	Python	/usr/lib/python3.14/unittest/_log.py	2746	2746	86	555	4.9477	6.4535
python-stdlib	Python	/usr/lib/python3.14/multiprocessing/connection.py	43841	43841	1232	9465	4.6319	7.6826
python-stdlib	Python	/usr/lib/python3.14/encodings/gb2312.py	1027	1027	39	238	4.3151	6.1026
python-stdlib	Python	/usr/lib/python3.14/asyncio/sslproto.py	31869	31869	929	6729	4.7361	7.2433
python-stdlib	Python	/usr/lib/python3.14/encodings/iso8859_3.py	13089	13089	307	4895	2.6740	15.9446
python-stdlib	Python	/usr/lib/python3.14/asyncio/staggered.py	7352	7352	179	1548	4.7494	8.6480
python-stdlib	Python	/usr/lib/python3.14/tokenize.py	21849	21849	598	5254	4.1585	8.7860
python-stdlib	Python	/usr/lib/python3.14/encodings/utf_16_be.py	1037	1037	42	237	4.3755	5.6429
python-stdlib	Python	/usr/lib/python3.14/tkinter/dnd.py	11644	11644	324	2721	4.2793	8.3981
python-stdlib	Python	/usr/lib/python3.14/_apple_support.py	2256	2256	66	522	4.3218	7.9091
python-stdlib	Python	/usr/lib/python3.14/multiprocessing/popen_fork.py	3110	3110	100	670	4.6418	6.7000
python-stdlib	Python	/usr/lib/python3.14/importlib/resources/simple.py	2590	2590	106	554	4.6751	5.2264
python-stdlib	Python	/usr/lib/python3.14/encodings/aliases.py	16255	16255	568	5850	2.7786	10.2993
python-stdlib	Python	/usr/lib/python3.14/tkinter/constants.py	1493	1493	110	483	3.0911	4.3909
python-stdlib	Python	/usr/lib/python3.14/turtledemo/rosette.py	1324	1324	63	400	3.3100	6.3492
python-stdlib	Python	/usr/lib/python3.14/asyncio/threads.py	794	794	26	179	4.4358	6.8846
python-stdlib	Python	/usr/lib/python3.14/Tools/scripts/long_conv_tables.py	1875	1875	75	491	3.8187	6.5467
python-stdlib	Python	/usr/lib/python3.14/__phello__/__init__.py	97	97	7	24	4.0417	3.4286
python-stdlib	Python	/usr/lib/python3.14/json/encoder.py	16990	16990	461	3561	4.7711	7.7245
python-stdlib	Python	/usr/lib/python3.14/abc.py	6538	6538	188	1381	4.7343	7.3457
python-stdlib	Python	/usr/lib/python3.14/ensurepip/__main__.py	88	88	5	24	3.6667	4.8000
python-stdlib	Python	/usr/lib/python3.14/string/templatelib.py	956	956	33	209	4.5742	6.3333
python-stdlib	Python	/usr/lib/python3.14/encodings/cp1006.py	13568	13568	307	5334	2.5437	17.3746
python-stdlib	Python	/usr/lib/python3.14/xml/dom/NodeFilter.py	936	936	27	244	3.8361	9.0370
python-stdlib	Python	/usr/lib/python3.14/__hello__.py	227	227	16	73	3.1096	4.5625
python-stdlib	Python	/usr/lib/python3.14/tkinter/__main__.py	148	148	7	44	3.3636	6.2857
python-stdlib	Python	/usr/lib/python3.14/encodings/iso8859_13.py	13271	13271	307	4984	2.6627	16.2345
python-stdlib	Python	/usr/lib/python3.14/compression/gzip.py	64	64	5	18	3.5556	3.6000
python-stdlib	Python	/usr/lib/python3.14/rlcompleter.py	7823	7823	222	1605	4.8741	7.2297
python-stdlib	Python	/usr/lib/python3.14/html/parser.py	21734	21734	553	5197	4.1820	9.3978
python-stdlib	Python	/usr/lib/python3.14/multiprocessing/queues.py	12658	12658	399	2741	4.6180	6.8697
python-stdlib	Python	/usr/lib/python3.14/_compat_pickle.py	8735	8735	251	2381	3.6686	9.4861
python-stdlib	Python	/usr/lib/python3.14/encodings/shift_jis_2004.py	1059	1059	39	252	4.2024	6.4615
python-stdlib	Python	/usr/lib/python3.14/selectors.py	19457	19457	603	4200	4.6326	6.9652
python-stdlib	Python	/usr/lib/python3.14/asyncio/tasks.py	40427	40427	1144	8754	4.6181	7.6521
python-stdlib	Python	/usr/lib/python3.14/tracemalloc.py	18047	18047	560	3870	4.6633	6.9107
python-stdlib	Python	/usr/lib/python3.14/xml/etree/ElementPath.py	13997	13997	423	3094	4.5239	7.3144
python-stdlib	Python	/usr/lib/python3.14/compression/lzma.py	64	64	5	22	2.9091	4.4000
python-stdlib	Python	/usr/lib/python3.14/turtledemo/fractalcurves.py	3418	3418	135	1019	3.3543	7.5481
python-stdlib	Python	/usr/lib/python3.14/ensurepip/__init__.py	8240	8240	265	1891	4.3575	7.1358
python-stdlib	Python	/usr/lib/python3.14/multiprocessing/heap.py	11626	11626	337	2693	4.3171	7.9911
python-stdlib	Python	/usr/lib/python3.14/_pyrepl/readline.py	21414	21414	620	4938	4.3366	7.9645
python-stdlib	Python	/usr/lib/python3.14/venv/__init__.py	31390	31387	700	6336	4.9542	9.0514
python-stdlib	Python	/usr/lib/python3.14/encodings/cp273.py	14132	14132	307	5157	2.7404	16.7980
python-stdlib	Python	/usr/lib/python3.14/_pyrepl/_module_completer.py	15195	15195	426	3233	4.7000	7.5892
python-stdlib	Python	/usr/lib/python3.14/encodings/__init__.py	5945	5945	182	1315	4.5209	7.2253
python-stdlib	Python	/usr/lib/python3.14/xml/sax/_exceptions.py	4699	4699	127	983	4.7803	7.7402
python-stdlib	Python	/usr/lib/python3.14/encodings/iso8859_11.py	12335	12335	307	5021	2.4567	16.3550
python-stdlib	Python	/usr/lib/python3.14/ctypes/macholib/framework.py	1105	1105	42	268	4.1231	6.3810
python-stdlib	Python	/usr/lib/python3.14/_pyrepl/trace.py	767	767	34	204	3.7598	6.0000
python-stdlib	Python	/usr/lib/python3.14/multiprocessing/reduction.py	9630	9630	281	2190	4.3973	7.7936
python-stdlib	Python	/usr/lib/python3.14/encodings/mac_iceland.py	13498	13498	307	4987	2.7066	16.2443
python-stdlib	Python	/usr/lib/python3.14/graphlib.py	9773	9773	254	2092	4.6716	8.2362
python-stdlib	Python	/usr/lib/python3.14/Tools/scripts/summarize_stats.py	53245	53243	1550	10951	4.8621	7.0652
python-stdlib	Python	/usr/lib/python3.14/shelve.py	8810	8810	250	2006	4.3918	8.0240
python-stdlib	Python	/usr/lib/python3.14/encodings/iso8859_10.py	13589	13589	307	5044	2.6941	16.4300
python-stdlib	Python	/usr/lib/python3.14/email/contentmanager.py	10594	10594	253	2480	4.2718	9.8024
python-stdlib	Python	/usr/lib/python3.14/encodings/utf_16_le.py	1037	1037	42	237	4.3755	5.6429
python-stdlib	Python	/usr/lib/python3.14/asyncio/exceptions.py	1752	1752	62	377	4.6472	6.0806
python-stdlib	Python	/usr/lib/python3.14/_pyrepl/base_eventqueue.py	3840	3840	110	827	4.6433	7.5182
python-stdlib	Python	/usr/lib/python3.14/asyncio/proactor_events.py	33494	33494	895	6976	4.8013	7.7944
python-stdlib	Python	/usr/lib/python3.14/wsgiref/__init__.py	657	657	25	147	4.4694	5.8800
python-stdlib	Python	/usr/lib/python3.14/modulefinder.py	23792	23792	671	5349	4.4479	7.9717
python-stdlib	Python	/usr/lib/python3.14/_pyrepl/utils.py	13122	13122	391	3181	4.1251	8.1355
python-stdlib	Python	/usr/lib/python3.14/turtledemo/two_canvases.py	1122	1122	54	374	3.0000	6.9259
python-stdlib	Python	/usr/lib/python3.14/encodings/iso8859_15.py	13212	13212	307	4923	2.6837	16.0358
python-stdlib	Python	/usr/lib/python3.14/bdb.py	44829	44829	1206	9704	4.6196	8.0464
python-stdlib	Python	/usr/lib/python3.14/multiprocessing/dummy/__init__.py	3063	3063	126	731	4.1902	5.8016
python-stdlib	Python	/usr/lib/python3.14/encodings/mac_cyrillic.py	13454	13454	307	5187	2.5938	16.8958
python-stdlib	Python	/usr/lib/python3.14/_ast_unparse.py	40422	40422	1161	8968	4.5074	7.7244
python-stdlib	Python	/usr/lib/python3.14/tkinter/scrolledtext.py	1808	1808	56	442	4.0905	7.8929
python-stdlib	Python	/usr/lib/python3.14/uuid.py	38286	38284	1013	10202	3.7528	10.0711
python-stdlib	Python	/usr/lib/python3.14/encodings/cp850.py	34105	34105	698	14290	2.3866	20.4728
python-stdlib	Python	/usr/lib/python3.14/tkinter/commondialog.py	1289	1289	53	296	4.3547	5.5849
python-stdlib	Python	/usr/lib/python3.14/zipfile/_path/glob.py	3314	3314	113	773	4.2872	6.8407
python-stdlib	Python	/usr/lib/python3.14/encodings/iso8859_16.py	13557	13557	307	5028	2.6963	16.3779
python-stdlib	Python	/usr/lib/python3.14/pty.py	5212	5212	182	1270	4.1039	6.9780
python-stdlib	Python	/usr/lib/python3.14/xml/dom/minicompat.py	3367	3367	109	707	4.7624	6.4862
python-stdlib	Python	/usr/lib/python3.14/email/mime/audio.py	2999	2999	97	749	4.0040	7.7216
python-stdlib	Python	/usr/lib/python3.14/compression/bz2.py	60	60	5	22	2.7273	4.4000
python-stdlib	Python	/usr/lib/python3.14/zoneinfo/_tzpath.py	5725	5725	189	1342	4.2660	7.1005
python-stdlib	Python	/usr/lib/python3.14/turtledemo/__init__.py	314	314	14	60	5.2333	4.2857
python-stdlib	Python	/usr/lib/python3.14/encodings/cp856.py	12423	12423	307	4855	2.5588	15.8143
python-stdlib	Python	/usr/lib/python3.14/pydoc_data/module_docs.py	15147	15147	320	4492	3.3720	14.0375
python-stdlib	Python	/usr/lib/python3.14/encodings/utf_32.py	5175	5175	150	1137	4.5515	7.5800
python-stdlib	Python	/usr/lib/python3.14/zoneinfo/_zoneinfo.py	24852	24852	776	6471	3.8405	8.3389
python-stdlib	Python	/usr/lib/python3.14/encodings/cp874.py	12595	12595	307	5117	2.4614	16.6678
python-stdlib	Python	/usr/lib/python3.14/importlib/__init__.py	4767	4767	136	1028	4.6372	7.5588
python-stdlib	Python	/usr/lib/python3.14/_android_support.py	7417	7417	192	1734	4.2774	9.0313
python-stdlib	Python	/usr/lib/python3.14/ctypes/_endian.py	2557	2557	78	583	4.3859	7.4744
python-stdlib	Python	/usr/lib/python3.14/site.py	25768	25768	779	5792	4.4489	7.4352
python-stdlib	Python	/usr/lib/python3.14/turtledemo/colormixer.py	1356	1356	57	400	3.3900	7.0175
python-stdlib	Python	/usr/lib/python3.14/compression/zstd/__init__.py	8769	8769	244	2135	4.1073	8.7500
python-stdlib	Python	/usr/lib/python3.14/pyclbr.py	11396	11396	314	2518	4.5258	8.0191
python-stdlib	Python	/usr/lib/python3.14/_pyrepl/windows_eventqueue.py	991	991	42	417	2.3765	9.9286
python-stdlib	Python	/usr/lib/python3.14/stringprep.py	12917	12917	272	8194	1.5764	30.1250
python-stdlib	Python	/usr/lib/python3.14/sched.py	6351	6351	167	1322	4.8041	7.9162
python-stdlib	Python	/usr/lib/python3.14/stat.py	6308	6308	212	1988	3.1730	9.3774
python-stdlib	Python	/usr/lib/python3.14/_pyrepl/completing_reader.py	10195	10195	299	2468	4.1309	8.2542
python-stdlib	Python	/usr/lib/python3.14/concurrent/futures/interpreter.py	4024	4024	123	795	5.0616	6.4634
python-stdlib	Python	/usr/lib/python3.14/email/policy.py	10695	10695	239	2203	4.8547	9.2176
python-stdlib	Python	/usr/lib/python3.14/asyncio/streams.py	28486	28486	787	5864	4.8578	7.4511
python-stdlib	Python	/usr/lib/python3.14/zipimport.py	33466	33466	822	7784	4.2993	9.4696
python-stdlib	Python	/usr/lib/python3.14/tkinter/dialog.py	1535	1535	49	330	4.6515	6.7347
python-stdlib	Python	/usr/lib/python3.14/logging/config.py	42984	42984	1077	8408	5.1123	7.8069
python-stdlib	Python	/usr/lib/python3.14/smtplib.py	43893	43893	1121	9694	4.5279	8.6476
python-stdlib	Python	/usr/lib/python3.14/_aix_support.py	4021	4021	108	1203	3.3425	11.1389
python-stdlib	Python	/usr/lib/python3.14/compression/zstd/_zstdfile.py	12295	12295	346	2756	4.4612	7.9653
python-stdlib	Python	/usr/lib/python3.14/Tools/scripts/checkpip.py	793	793	32	178	4.4551	5.5625
python-stdlib	Python	/usr/lib/python3.14/functools.py	43564	43563	1165	9527	4.5727	8.1777
python-stdlib	Python	/usr/lib/python3.14/_opcode_metadata.py	10115	10115	371	3204	3.1570	8.6361
python-stdlib	Python	/usr/lib/python3.14/sqlite3/__init__.py	2014	2012	57	482	4.1784	8.4561
python-stdlib	Python	/usr/lib/python3.14/xml/sax/xmlreader.py	12624	12624	378	2642	4.7782	6.9894
python-stdlib	Python	/usr/lib/python3.14/queue.py	13455	13455	383	2793	4.8174	7.2924
python-stdlib	Python	/usr/lib/python3.14/encodings/tis_620.py	12300	12300	307	5001	2.4595	16.2899
python-stdlib	Python	/usr/lib/python3.14/encodings/koi8_u.py	13762	13762	307	5267	2.6129	17.1564
python-stdlib	Python	/usr/lib/python3.14/encodings/quopri_codec.py	1525	1525	56	364	4.1896	6.5000
python-stdlib	Python	/usr/lib/python3.14/xml/__init__.py	557	557	20	140	3.9786	7.0000
python-stdlib	Python	/usr/lib/python3.14/encodings/latin_1.py	1264	1264	50	293	4.3140	5.8600
python-stdlib	Python	/usr/lib/python3.14/_pyrepl/__init__.py	925	925	19	192	4.8177	10.1053
python-stdlib	Python	/usr/lib/python3.14/wsgiref/headers.py	7365	7365	192	1648	4.4691	8.5833
python-stdlib	Python	/usr/lib/python3.14/tkinter/messagebox.py	3861	3861	146	1031	3.7449	7.0616
python-stdlib	Python	/usr/lib/python3.14/timeit.py	13436	13436	378	3084	4.3567	8.1587
python-stdlib	Python	/usr/lib/python3.14/compression/zlib.py	64	64	5	18	3.5556	3.6000
python-stdlib	Python	/usr/lib/python3.14/encodings/cp1125.py	34597	34597	698	14580	2.3729	20.8883
python-stdlib	Python	/usr/lib/python3.14/numbers.py	11769	11769	427	2523	4.6647	5.9087
python-stdlib	Python	/usr/lib/python3.14/encodings/shift_jisx0213.py	1059	1059	39	252	4.2024	6.4615
python-stdlib	Python	/usr/lib/python3.14/ast.py	25479	25479	680	5421	4.7001	7.9721
python-stdlib	Python	/usr/lib/python3.14/shlex.py	13756	13694	351	2868	4.7964	8.1709
python-stdlib	Python	/usr/lib/python3.14/glob.py	20771	20771	574	4515	4.6004	7.8659
python-stdlib	Python	/usr/lib/python3.14/warnings.py	1966	1966	99	478	4.1130	4.8283
python-stdlib	Python	/usr/lib/python3.14/_osx_support.py	22023	22023	579	5203	4.2328	8.9862
python-stdlib	Python	/usr/lib/python3.14/ntpath.py	30896	30896	872	7375	4.1893	8.4576
python-stdlib	Python	/usr/lib/python3.14/pathlib/_os.py	18161	18161	530	4181	4.3437	7.8887
python-stdlib	Python	/usr/lib/python3.14/asyncio/coroutines.py	3657	3657	118	901	4.0588	7.6356
python-stdlib	Python	/usr/lib/python3.14/encodings/gb18030.py	1031	1031	39	238	4.3319	6.1026
python-stdlib	Python	/usr/lib/python3.14/encodings/hex_codec.py	1508	1508	55	342	4.4094	6.2182
python-stdlib	Python	/usr/lib/python3.14/lzma.py	13426	13426	364	3037	4.4208	8.3434
python-stdlib	Python	/usr/lib/python3.14/py_compile.py	7849	7849	212	1735	4.5239	8.1840
python-stdlib	Python	/usr/lib/python3.14/base64.py	22301	22301	625	5889	3.7869	9.4224
python-stdlib	Python	/usr/lib/python3.14/re/_parser.py	40353	40353	1066	8608	4.6878	8.0750
python-stdlib	Python	/usr/lib/python3.14/encodings/cp932.py	1023	1023	39	236	4.3347	6.0513
python-stdlib	Python	/usr/lib/python3.14/importlib/machinery.py	2166	2166	50	464	4.6681	9.2800
python-stdlib	Python	/usr/lib/python3.14/tkinter/ttk.py	56594	56594	1650	12870	4.3974	7.8000
