type	method	adverb	probe	slice
X::Symbol::NotDynamic	new	symbol	X::Symbol::NotDynamic.new(:symbol<foo>, :package<Bar>).message ne X::Symbol::NotDynamic.new(:symbol<baz>, :package<Bar>).message	s05
X::Symbol::NotDynamic	new	package	X::Symbol::NotDynamic.new(:symbol<foo>, :package<Bar>).message ne X::Symbol::NotDynamic.new(:symbol<foo>, :package<Baz>).message	s05
X::Symbol::NotLexical	new	symbol	X::Symbol::NotLexical.new(:symbol<foo>, :package<Bar>).message ne X::Symbol::NotLexical.new(:symbol<baz>, :package<Bar>).message	s05
X::Symbol::NotLexical	new	package	X::Symbol::NotLexical.new(:symbol<foo>, :package<Bar>).message ne X::Symbol::NotLexical.new(:symbol<foo>, :package<Baz>).message	s05
X::Caller::NotDynamic	new	symbol	X::Caller::NotDynamic.new(:symbol<foo>).message ne X::Caller::NotDynamic.new(:symbol<baz>).message	s05
IO::Spec::Cygwin	splitpath	nofile	IO::Spec::Cygwin.splitpath("/a/b/c.txt", :nofile).raku ne IO::Spec::Cygwin.splitpath("/a/b/c.txt").raku	s06
IO::Spec::Cygwin	canonpath	parent	IO::Spec::Cygwin.canonpath("//n/a/b/../c", :parent) ne IO::Spec::Cygwin.canonpath("//n/a/b/../c")	s06
IO::Spec::Win32	splitpath	nofile	IO::Spec::Win32.splitpath("C:/a/b/c.txt", :nofile).raku ne IO::Spec::Win32.splitpath("C:/a/b/c.txt").raku	s06
IO::Spec::Win32	canonpath	parent	IO::Spec::Win32.canonpath("C:/a/b/../c", :parent) ne IO::Spec::Win32.canonpath("C:/a/b/../c")	s06
IO::Spec::Win32	rel2abs	omit-volume	IO::Spec::Win32.rel2abs("/x", "C:/base", :omit-volume) ne IO::Spec::Win32.rel2abs("/x", "C:/base")	s06
IO::Spec::Unix	canonpath	parent	IO::Spec::Unix.canonpath("/a/b/../c", :parent) ne IO::Spec::Unix.canonpath("/a/b/../c")	s06
IO::Spec::QNX	canonpath	parent	IO::Spec::QNX.canonpath("//n/a/b/../c", :parent) ne IO::Spec::QNX.canonpath("//n/a/b/../c")	s06
Int	Str	superscript	123.Str(:superscript) ne 123.Str	s06
Int	Str	subscript	123.Str(:subscript) ne 123.Str	s06
Iterable	flat	hammer	(1, $(2, 3)).flat(:hammer).elems != (1, $(2, 3)).flat.elems	s06
Mu	WALK	methods	Any.new.WALK("gist").elems > Any.new.WALK("gist", :methods(False)).elems	s07
Mu	WALK	submethods	do { my class W1 { submethod s {} }; W1.new.WALK("s").elems == 1 && W1.new.WALK("s", :submethods(False)).elems == 0 }	s07
Mu	WALK	descendant	do { my class W2 { method f {} }; my class W3 is W2 { method f {} }; W3.new.WALK("f", :descendant).head.package.^name eq "W2" && W3.new.WALK("f").head.package.^name eq "W3" }	s07
Mu	WALK	super	do { my class W4 { method f {} }; my class W5 is W4 { method f {} }; W5.new.WALK("f", :super).elems == 1 && W5.new.WALK("f").elems == 2 }	s07
Any	min	k	(3,1,2,1).min(:by(&infix:<cmp>), :k) eqv (1,3)	s08
Any	min	v	(3,1,2,1).min(:by(&infix:<cmp>), :v) eqv (1,1)	s08
Any	min	kv	(3,1,2,1).min(:by(&infix:<cmp>), :kv) eqv (1,1,3,1)	s08
Any	min	p	(3,1,2,1).min(:by(&infix:<cmp>), :p) eqv (1 => 1, 3 => 1)	s08
Any	max	k	(3,1,2,3).max(:by(&infix:<cmp>), :k) eqv (0,3)	s08
Any	max	v	(3,1,2,3).max(:by(&infix:<cmp>), :v) eqv (3,3)	s08
Any	max	kv	(3,1,2,3).max(:by(&infix:<cmp>), :kv) eqv (0,3,3,3)	s08
Any	max	p	(3,1,2,3).max(:by(&infix:<cmp>), :p) eqv (0 => 3, 3 => 3)	s08
ParallelSequence	grep	k	(1..10).race.grep(* > 8, :k).sum == 17	s08
ParallelSequence	grep	kv	(1..10).race.grep(* > 8, :kv).sum == 36	s08
ParallelSequence	grep	p	(1..10).race.grep(* > 8, :p).head ~~ Pair	s08
Parameter	new	type	Parameter.new(:name(Q|$x|), :type(Int)).type === Int && Parameter.new(:name(Q|$x|)).type === Any	s08
Parameter	new	default	Parameter.new(:name(Q|$x|), :default(42)).default.defined && !Parameter.new(:name(Q|$x|)).default.defined	s08
Parameter	new	where	Parameter.new(:name(Q|$x|), :where(* > 2)).constraint_list.elems == 1 && Parameter.new(:name(Q|$x|)).constraint_list.elems == 0	s08
Parameter	new	sub-signature	Parameter.new(:name(Q|@x|), :sub-signature(:())).sub_signature.defined && !Parameter.new(:name(Q|@x|)).sub_signature.defined	s08
Proc::Async	new	w	Proc::Async.new("echo", :w).w.so && !Proc::Async.new("echo").w.so	s08
Proc::Async	new	enc	Proc::Async.new("echo", :enc<latin-1>).enc eq "latin-1" && Proc::Async.new("echo").enc eq "utf8"	s08
Proc::Async	new	arg0	Proc::Async.new("echo", :arg0<zzz>).args.head eq "zzz" && Proc::Async.new("echo").args.head eq "echo"	s08
RakuAST::Node	grep	k	"1 + 2".AST.grep(CORE::<RakuAST>.WHO<Literal>, :k).List eqv (0,1)	s08
RakuAST::Node	grep	kv	"1 + 2".AST.grep(CORE::<RakuAST>.WHO<Literal>, :kv).elems == 4 && "1 + 2".AST.grep(CORE::<RakuAST>.WHO<Literal>).elems == 2	s08
RakuAST::Node	grep	p	"1 + 2".AST.grep(CORE::<RakuAST>.WHO<Literal>, :p).head ~~ Pair	s08
RakuAST::Deparse	deparse	skip	CORE::<RakuAST>.WHO<Deparse>.new.deparse(Q|my Int $x;|.AST.grep(CORE::<RakuAST>.WHO<Type>.WHO<Simple>).head, :skip<Int>) eq ""	s08
RakuAST::Deparse	deparse	no-sink	CORE::<RakuAST>.WHO<Deparse>.new.deparse(Q|say 1; say 2;|.AST, :no-sink).ends-with("say 2;\n")	s08
Range	first	end	(1..10).first(* %% 3, :end) != (1..10).first(* %% 3)	s09
Range	first	k	(1..10).first(* %% 3, :k) != (1..10).first(* %% 3)	s09
Range	first	p	(1..10).first(* %% 3, :p) ~~ Pair && (1..10).first(* %% 3) !~~ Pair	s09
Range	first	kv	(1..10).first(* %% 3, :kv) !eqv (1..10).first(* %% 3)	s09
Rakudo::Internals::ShapedArrayCommon	sort	k	do { my @a[3] = 3,1,2; @a.sort(:k).List !eqv @a.sort.List }	s09
Rakudo::Internals::HyperRaceSharedImpl	grep	k	(1..10).hyper(:batch(2)).grep(* %% 3, :k).List !eqv (1..10).hyper(:batch(2)).grep(* %% 3).List	s09
Rakudo::Internals::HyperRaceSharedImpl	grep	p	(1..10).hyper(:batch(2)).grep(* %% 3, :p).List !eqv (1..10).hyper(:batch(2)).grep(* %% 3).List	s09
Rakudo::Internals::HyperRaceSharedImpl	grep	kv	(1..10).hyper(:batch(2)).grep(* %% 3, :kv).List !eqv (1..10).hyper(:batch(2)).grep(* %% 3).List	s09
RakuAST::Node	EVAL	check	do { use experimental :rakuast; use MONKEY-SEE-NO-EVAL; RakuAST::IntLiteral.new(42).EVAL(:check) !=== RakuAST::IntLiteral.new(42).EVAL }	s09
Str	subst	g	"aaa".subst("a","b",:g) ne "aaa".subst("a","b")	s10
Str	subst	global	"aaa".subst("a","b",:global) ne "aaa".subst("a","b")	s10
Str	subst	ii	"ABC".subst("ABC","xyz",:ii) ne "ABC".subst("ABC","xyz")	s10
Str	subst	samecase	"ABC".subst("ABC","xyz",:samecase) ne "ABC".subst("ABC","xyz")	s10
Str	subst	ss	"a  b".subst("a  b","x y",:ss) ne "a  b".subst("a  b","x y")	s10
Str	subst	samespace	"a  b".subst("a  b","x y",:samespace) ne "a  b".subst("a  b","x y")	s10
Str	subst	mm	"ǟb".subst("ǟb","xy",:mm) ne "ǟb".subst("ǟb","xy")	s10
Str	subst	samemark	"ǟb".subst("ǟb","xy",:samemark) ne "ǟb".subst("ǟb","xy")	s10
Str	subst	s	"A  B".subst(/"A  B"/,"x y",:ii,:s) ne "A  B".subst(/"A  B"/,"x y",:ii)	s10
Str	subst	sigspace	"A  B".subst(/"A  B"/,"x y",:ii,:sigspace) ne "A  B".subst(/"A  B"/,"x y",:ii)	s10
Str	subst	x	"aaa".subst(/a/,"b",:x(2)) ne "aaa".subst(/a/,"b")	s10
Str	subst	nth	"aaa".subst(/a/,"b",:nth(2)) ne "aaa".subst(/a/,"b")	s10
Str	subst	st	"aaa".subst(/a/,"b",:st(2)) ne "aaa".subst(/a/,"b")	s10
Str	subst	nd	"aaa".subst(/a/,"b",:nd(2)) ne "aaa".subst(/a/,"b")	s10
Str	subst	rd	"aaaa".subst(/a/,"b",:rd(3)) ne "aaaa".subst(/a/,"b")	s10
Str	subst	th	"aaaa".subst(/a/,"b",:th(4)) ne "aaaa".subst(/a/,"b")	s10
Str	subst	p	"aaa".subst(/a/,"b",:p(1)) ne "aaa".subst(/a/,"b")	s10
Str	subst	pos	"aaa".subst(/a/,"b",:pos(1)) ne "aaa".subst(/a/,"b")	s10
Str	subst	c	"aaa".subst(/a/,"b",:c(1)) ne "aaa".subst(/a/,"b")	s10
Str	subst	continue	"aaa".subst(/a/,"b",:continue(1)) ne "aaa".subst(/a/,"b")	s10
Str	subst	as	(try "aaa".subst(/a/,"b",:g,:as(Str))) === Nil	s10
Str	subst	ov	(try "aaaa".subst(/aa/,"b",:ov)) === Nil	s10
Str	subst	ex	(try "aaaa".subst(/a+/,"b",:ex)) === Nil	s10
Str	subst	overlap	"aaaa".subst(/aa/,"b",:overlap) ne "aaaa".subst(/aa/,"b")	s10
Str	subst	exhaustive	(try "aaaa".subst(/a+/,"b",:exhaustive)) === Nil	s10
Str	subst	i	"AAA".subst(/a/,"b",:i) ne "AAA".subst(/a/,"b")	s10
Str	subst	ignorecase	"AAA".subst(/a/,"b",:ignorecase) ne "AAA".subst(/a/,"b")	s10
Str	subst	m	"ǟ".subst(/a/,"b",:m) ne "ǟ".subst(/a/,"b")	s10
Str	subst	ignoremark	"ǟ".subst(/a/,"b",:ignoremark) ne "ǟ".subst(/a/,"b")	s10
Str	subst	r	"aaa".subst(/a+a/,"b",:r) ne "aaa".subst(/a+a/,"b")	s10
Str	subst	ratchet	"aaa".subst(/a+a/,"b",:ratchet) ne "aaa".subst(/a+a/,"b")	s10
Str	subst	P5	"a\nb".subst(/a.b/,"x",:P5) ne "a\nb".subst(/a.b/,"x")	s10
Str	subst	Perl5	"a\nb".subst(/a.b/,"x",:Perl5) ne "a\nb".subst(/a.b/,"x")	s10
Str	subst-mutate	g	my $a="aaa"; $a.subst-mutate("a","b",:g); my $b="aaa"; $b.subst-mutate("a","b"); $a ne $b	s10
Str	subst-mutate	global	my $a="aaa"; $a.subst-mutate("a","b",:global); my $b="aaa"; $b.subst-mutate("a","b"); $a ne $b	s10
Str	subst-mutate	x	my $a="aaa"; $a.subst-mutate(/a/,"b",:x(2)); my $b="aaa"; $b.subst-mutate(/a/,"b"); $a ne $b	s10
Str	subst-mutate	nth	my $a="aaa"; $a.subst-mutate(/a/,"b",:nth(2)); my $b="aaa"; $b.subst-mutate(/a/,"b"); $a ne $b	s10
Str	subst-mutate	st	my $a="aaa"; $a.subst-mutate(/a/,"b",:st(2)); my $b="aaa"; $b.subst-mutate(/a/,"b"); $a ne $b	s10
Str	subst-mutate	nd	my $a="aaa"; $a.subst-mutate(/a/,"b",:nd(2)); my $b="aaa"; $b.subst-mutate(/a/,"b"); $a ne $b	s10
Str	subst-mutate	p	my $a="aaa"; $a.subst-mutate(/a/,"b",:p(1)); my $b="aaa"; $b.subst-mutate(/a/,"b"); $a ne $b	s10
Str	subst-mutate	pos	my $a="aaa"; $a.subst-mutate(/a/,"b",:pos(1)); my $b="aaa"; $b.subst-mutate(/a/,"b"); $a ne $b	s10
Str	subst-mutate	c	my $a="aaa"; $a.subst-mutate(/a/,"b",:c(1)); my $b="aaa"; $b.subst-mutate(/a/,"b"); $a ne $b	s10
Str	subst-mutate	continue	my $a="aaa"; $a.subst-mutate(/a/,"b",:continue(1)); my $b="aaa"; $b.subst-mutate(/a/,"b"); $a ne $b	s10
Str	subst-mutate	ov	my $a="aaaa"; $a.subst-mutate(/aa/,"b",:ov); my $b="aaaa"; $b.subst-mutate(/aa/,"b"); $a ne $b	s10
Str	subst-mutate	overlap	my $a="aaaa"; $a.subst-mutate(/aa/,"b",:overlap); my $b="aaaa"; $b.subst-mutate(/aa/,"b"); $a ne $b	s10
Str	subst-mutate	ex	my $a="aaaa"; (try $a.subst-mutate(/a+/,"b",:ex)) === Nil	s10
Str	subst-mutate	exhaustive	my $a="aaaa"; (try $a.subst-mutate(/a+/,"b",:exhaustive)) === Nil	s10
Str	subst-mutate	as	my $a="aaa"; (try $a.subst-mutate(/a/,"b",:g,:as(Str))) === Nil	s10
Str	subst-mutate	s	my $a="A  B"; $a.subst-mutate(/"A  B"/,"x y",:ii,:s); my $b="A  B"; $b.subst-mutate(/"A  B"/,"x y",:ii); $a ne $b	s10
Str	subst-mutate	sigspace	my $a="A  B"; $a.subst-mutate(/"A  B"/,"x y",:ii,:sigspace); my $b="A  B"; $b.subst-mutate(/"A  B"/,"x y",:ii); $a ne $b	s10
Str	subst-mutate	i	my $a="AAA"; $a.subst-mutate(/a/,"b",:i); my $b="AAA"; $b.subst-mutate(/a/,"b"); $a ne $b	s10
Str	match	i	"AAA".match(/a/,:i).Bool != "AAA".match(/a/).Bool	s10
Str	match	ignorecase	"AAA".match(/a/,:ignorecase).Bool != "AAA".match(/a/).Bool	s10
Str	match	m	"ǟ".match(/a/,:m).Bool != "ǟ".match(/a/).Bool	s10
Str	match	ignoremark	"ǟ".match(/a/,:ignoremark).Bool != "ǟ".match(/a/).Bool	s10
Str	match	s	"ab".match(/a b/,:s).Bool != "ab".match(/a b/).Bool	s10
Str	match	sigspace	"ab".match(/a b/,:sigspace).Bool != "ab".match(/a b/).Bool	s10
Str	match	r	"aaa".match(/a+a/,:r).Bool != "aaa".match(/a+a/).Bool	s10
Str	match	ratchet	"aaa".match(/a+a/,:ratchet).Bool != "aaa".match(/a+a/).Bool	s10
Str	match	P5	"a\nb".match(/a.b/,:P5).Bool != "a\nb".match(/a.b/).Bool	s10
Str	match	Perl5	"a\nb".match(/a.b/,:Perl5).Bool != "a\nb".match(/a.b/).Bool	s10
Str	trans	c	"abc".trans("a" => "x", :c) ne "abc".trans("a" => "x")	s10
Str	trans	complement	"abc".trans("a" => "x", :complement) ne "abc".trans("a" => "x")	s10
Str	trans	s	"aab".trans("a" => "x", :s) ne "aab".trans("a" => "x")	s10
Str	trans	squash	"aab".trans("a" => "x", :squash) ne "aab".trans("a" => "x")	s10
Str	trans	d	"abc".trans("ab" => "x", :d) ne "abc".trans("ab" => "x")	s10
Str	trans	delete	"abc".trans("ab" => "x", :delete) ne "abc".trans("ab" => "x")	s10
Str	substr-eq	i	"ABC".substr-eq("abc",:i) != "ABC".substr-eq("abc")	s10
Str	substr-eq	ignorecase	"ABC".substr-eq("abc",:ignorecase) != "ABC".substr-eq("abc")	s10
Str	substr-eq	m	"ǟbc".substr-eq("abc",:m) != "ǟbc".substr-eq("abc")	s10
Str	substr-eq	ignoremark	"ǟbc".substr-eq("abc",:ignoremark) != "ǟbc".substr-eq("abc")	s10
Str	IO	CWD	"-".IO(:CWD("/zzz-probe")).CWD eq "/zzz-probe"	s10
Str	IO	SPEC	"-".IO(:SPEC(IO::Spec::Win32.new)).SPEC.^name eq "IO::Spec::Win32"	s10
Allomorph	subst	g	<442>.subst("4","5",:g) ne <442>.subst("4","5")	s11
Allomorph	subst-mutate	g	{ my $x = <442>; $x.subst-mutate("4","5",:g); $x eq "552" }()	s11
Allomorph	comb	match	(<12>.comb(/\d/,:match).head ~~ Match) && !(<12>.comb(/\d/).head ~~ Match)	s11
Allomorph	split	skip-empty	<100>.split("0",:skip-empty).elems != <100>.split("0").elems	s11
Allomorph	split	v	<100>.split("0",:v).elems != <100>.split("0").elems	s11
Supply	act	done	{ my $d = 0; supply { emit 1 }.act(-> $ {}, done => { $d = 1 }); $d == 1 }()	s11
Supply	act	quit	{ my $q = 0; supply { die "boom" }.act(-> $ {}, quit => -> $ { $q = 1 }); $q == 1 }()	s11
Supply	act	tap	{ my $t = 0; supply { emit 1 }.act(-> $ {}, tap => -> $ { $t = 1 }); $t == 1 }()	s11
Supply	split	skip-empty	supply { emit "a,,b" }.split(",", :skip-empty).list.elems == 2 && supply { emit "a,,b" }.split(",").list.elems == 3	s11
Supply	split	v	supply { emit "a,b" }.split(",", :v).list.elems != supply { emit "a,b" }.split(",").list.elems	s11
Thread	start	name	Thread.start(-> {}, :name<zippy>).name eq "zippy" && Thread.start(-> {}).name eq "<anon>"	s11
Thread	start	app_lifetime	Thread.start(-> {}, :app_lifetime).app_lifetime && !Thread.start(-> {}).app_lifetime	s11
ThreadPoolScheduler	cue	catch	{ my $p = Promise.new; $*SCHEDULER.cue({ die "x" }, :in(0), :catch(-> $ { $p.keep(1) })); await Promise.anyof($p, Promise.in(5)); $p.status == Kept }()	s11
sub	postcircumfix:<[ ]>	delete	my @a = 1,2,3; (@a[1]:delete) == 2 && !(@a[1]:exists)	s12
sub	postcircumfix:<[ ]>	exists	my @a = 1,2,3; (@a[1]:exists) === True && (@a[9]:exists) === False	s12
sub	postcircumfix:<[ ]>	kv	my @a = 1,2,3; (@a[1]:kv) eqv (1,2) && @a[1] == 2	s12
sub	postcircumfix:<[ ]>	p	my @a = 1,2,3; (@a[1]:p) eqv (1 => 2) && @a[1] == 2	s12
sub	postcircumfix:<[ ]>	k	my @a = 1,2,3; (@a[1]:k) eqv 1 && @a[1] == 2	s12
sub	postcircumfix:<[ ]>	v	my @a = 1,2,3; (@a[1]:v) eqv 2 && (@a[9]:v) eqv ()	s12
sub	postcircumfix:<[ ]>	BIND	my @a; my $x = 42; postcircumfix:<[ ]>(@a, 0, BIND => $x); $x = 43; @a[0] == 43	s12
sub	postcircumfix:<{ }>	delete	my %h = a => 1; (%h<a>:delete) == 1 && !(%h<a>:exists)	s12
sub	postcircumfix:<{ }>	exists	my %h = a => 1; (%h<a>:exists) === True && (%h<b>:exists) === False	s12
sub	postcircumfix:<{ }>	kv	my %h = a => 1; (%h<a>:kv) eqv ("a", 1) && %h<a> == 1	s12
sub	postcircumfix:<{ }>	p	my %h = a => 1; (%h<a>:p) eqv (a => 1) && %h<a> == 1	s12
sub	postcircumfix:<{ }>	k	my %h = a => 1; (%h<a>:k) eqv "a" && %h<a> == 1	s12
sub	postcircumfix:<{ }>	v	my %h = a => 1; (%h<a>:v) eqv 1 && (%h<b>:v) eqv ()	s12
sub	postcircumfix:<{ }>	BIND	my %h; my $x = 42; postcircumfix:<{ }>(%h, "a", BIND => $x); $x = 43; %h<a> == 43	s12
sub	postcircumfix:<[; ]>	delete	my @a[2;2]; @a[0;0] = 5; (@a[0;0]:delete) == 5 && !(@a[0;0]:exists)	s12
sub	postcircumfix:<[; ]>	exists	my @a[2;2]; @a[0;0] = 5; (@a[0;0]:exists) === True && (@a[1;1]:exists) === False	s12
sub	postcircumfix:<[; ]>	kv	my @a[2;2]; @a[0;0] = 5; (@a[0;0]:kv) eqv ((0,0), 5)	s12
sub	postcircumfix:<[; ]>	p	my @a[2;2]; @a[0;0] = 5; (@a[0;0]:p) eqv ((0,0) => 5)	s12
sub	postcircumfix:<[; ]>	k	my @a[2;2]; @a[0;0] = 5; (@a[0;0]:k) eqv (0,0)	s12
sub	postcircumfix:<[; ]>	v	my @a[2;2]; @a[0;0] = 5; (@a[0;0]:v) eqv 5 && (@a[1;1]:v) eqv ()	s12
sub	postcircumfix:<[; ]>	BIND	my @a[2;2]; postcircumfix:<[; ]>(@a, (0,0), BIND => 42); @a[0;0] == 42 && !(try @a[0;0] = 5)	s12
sub	postcircumfix:<{; }>	exists	my %h = a => { b => 1 }; (%h{"a";"b"}:exists) === True && (%h{"a";"c"}:exists) === False	s12
sub	trait_mod:<is>	rw	do { my $o = (anon class { has $.x is rw }).new(:x(1)); $o.x = 5; $o.x == 5 } && !(so try { my $p = (anon class { has $.y }).new(:y(1)); $p.y = 5; True })	s13
sub	trait_mod:<is>	readonly	!(so try { my $q = (anon class { has $.x is readonly }).new(:x(1)); $q.x = 5; True }) && (so try { my $r = (anon class { has $.x is rw }).new(:x(1)); $r.x = 5; True })	s13
sub	trait_mod:<is>	required	!(so try (anon class { has $.x is required }).new) && (so (anon class { has $.y }).new)	s13
sub	trait_mod:<is>	default	(anon class { has $.x is default(42) }).new.x === 42 && (anon class { has $.y }).new.y === Any	s13
